Day,Mean
1,1.49
2,1.472
3,2.282
4,3.151
5,5.294
6,7.726
7,12.051
8,17.683
9,25.574
10,36.315
11,49.277
12,62.91
13,76.285
14,84.333
15,88.175
16,84.326
17,74.7
18,62.978
19,50.567
20,38.891
21,28.992
22,20.781
23,15.0
24,10.376
25,7.227
26,5.041
27,3.443
28,2.379
29,1.522
30,1.05
31,0.734
32,0.494
33,0.322
34,0.254
35,0.16
36,0.112
37,0.084
38,0.034
39,0.041
40,0.024
41,0.013
42,0.01
43,0.007
44,0.003
45,0.007
46,0.001
47,0.0
48,0.002
49,0.001
50,0.0
51,0.0
52,0.0
53,0.001
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
